,Unnamed: 0,exp_param,vm_param,pp_id,ll,AIC,agent_type
0,0,0.0067816041233046,1.7435368407188934,5f35d6ae93a88f0023c8d644,-114.095245,232.19049,lqr
0,0,0.0035737214966383,0.92487558058316,5f35d62693a88f0023c8d611,-132.277928,268.555856,lqr
0,0,0.0520797423412084,0.3918552688858023,5f35d80893a88f0023c8d735,-111.55861,227.11722,lqr
0,0,0.0083026739573696,0.9968491217134944,5f35d6af93a88f0023c8d646,-122.989463,249.978926,lqr
0,0,0.0014047399549622,1.4490371309238492,5f35d65d93a88f0023c8d629,-133.478712,270.957424,lqr
0,0,0.0040131686284518,1.792768366333859,5f35d65893a88f0023c8d625,-118.84077,241.68154,lqr
0,0,0.0309548732709454,1.3516643250450289,5f35d60a93a88f0023c8d608,-103.997156,211.994312,lqr
0,0,0.0219084853314046,0.4256824976685969,5f35d5ee93a88f0023c8d5fe,-119.682036,243.364072,lqr
0,0,0.0019089249824724,1.703173601207767,5f35d64293a88f0023c8d61c,-127.437734,258.875468,lqr
0,0,0.0031035220462389,2.6602435581895643,5f35d5d093a88f0023c8d5f7,-110.91641,225.83282,lqr
0,0,0.0171628541066151,0.6620153517137073,5f35d8e393a88f0023c8d887,-120.051483,244.102966,lqr
0,0,0.0037552963924167,3.0138842590937776,5f35d78293a88f0023c8d697,-106.589007,217.178014,lqr
0,0,0.0351433169562306,2.434399273116843,5f35d73b93a88f0023c8d678,-88.860654,181.721308,lqr
0,0,0.0030185796672283,0.892539919715214,5f35d74693a88f0023c8d67e,-135.055968,274.111936,lqr
0,0,0.0048369021929261,2.211248024332879,5f35d76593a88f0023c8d688,-111.41452,226.82904,lqr
0,0,0.0016267390478717,0.8182500543325266,5f35d61893a88f0023c8d60c,-141.241655,286.48331,lqr
0,0,0.0086923494195241,1.2936397675755762,5f35d72f93a88f0023c8d675,-118.216621,240.433242,lqr
0,0,0.0382559572239683,1.6791991475517132,5f35d7da93a88f0023c8d703,-97.740203,199.480406,lqr
0,0,0.0033953659331357,1.342615927322777,5f35d64493a88f0023c8d61e,-126.853767,257.707534,lqr
0,0,0.0287406632441567,0.4581651866651681,5f35d74293a88f0023c8d67c,-116.961031,237.922062,lqr
0,0,0.0015089283538668,1.3257516422061877,5f35d67e93a88f0023c8d634,-134.039668,272.079336,lqr
0,0,0.0049838927674129,1.5476027401866732,5f35d78493a88f0023c8d69f,-118.92216,241.84432,lqr
0,0,0.0022892800756647,1.3602821621663477,5f35d7a693a88f0023c8d6b2,-130.828981,265.657962,lqr
0,0,0.0141555968071616,0.8809382210481753,5f35d6aa93a88f0023c8d642,-119.282517,242.565034,lqr
0,0,0.0041356812618002,1.960583024708391,5f35d68993a88f0023c8d637,-116.042028,236.084056,lqr
0,0,0.0022445902051688,1.074878291684651,5f35d71a93a88f0023c8d66c,-134.669101,273.338202,lqr
0,0,0.053873335397692,1.2324084632552723,5f35d60393a88f0023c8d605,-100.935639,205.871278,lqr
0,0,0.0144306977013803,1.499020026276634,5f35d73d93a88f0023c8d679,-109.452921,222.905842,lqr
0,0,0.0199171639111992,1.9747961602438315,5f35d76793a88f0023c8d689,-99.619963,203.239926,lqr
0,0,0.0022485752652068,1.2340174420174554,5f35d90b93a88f0023c8d8cf,-132.847499,269.694998,lqr
0,0,0.0115076133831305,1.3308706337942122,5f35d73993a88f0023c8d677,-114.950865,233.90173,lqr
0,0,0.0021610952713774,0.9162944281321485,5f35d77893a88f0023c8d690,-137.380934,278.761868,lqr
0,0,0.0013360826102382,1.066992379435906,5f35d77893a88f0023c8d691,-140.207301,284.414602,lqr
0,0,0.0055275204198319,1.5059761957658102,5f35d63393a88f0023c8d617,-119.475519,242.951038,lqr
0,0,0.0029552415464695,1.243676831088525,5f35d79b93a88f0023c8d6aa,-130.050006,264.100012,lqr
0,0,0.0030020901699577,1.6832760777607214,5f35d63193a88f0023c8d616,-124.079063,252.158126,lqr
0,0,0.001169025494343,1.5075047203770198,5f35d65393a88f0023c8d623,-135.666655,275.33331,lqr
0,0,0.0038175152044885,0.870983723727049,5f35d6f793a88f0023c8d65f,-132.775446,269.550892,lqr
0,0,0.0049894277040964,1.84565130775186,5f35da2c93a88f0023c8db97,-115.675118,235.350236,lqr
0,0,0.0031784091399957,1.665789558252142,5f35d6bc93a88f0023c8d64b,-123.279183,250.558366,lqr
0,0,0.0026291672287176,2.007930793170844,5f35d7f093a88f0023c8d716,-120.757711,245.515422,lqr
0,0,0.0078552327675888,3.1180778650624017,5f35d7d693a88f0023c8d6f7,-97.817537,199.635074,lqr
0,0,0.0014475352850181,1.7761164598125612,5f35d72493a88f0023c8d66f,-128.738521,261.477042,lqr
0,0,0.0062673596419152,1.9303573669492904,5f35d7fa93a88f0023c8d725,-111.799292,227.598584,lqr
0,0,0.0037710798720447,1.1061508771480977,5f35d86c93a88f0023c8d7e9,-129.312558,262.625116,lqr
0,0,0.0269508694587896,0.9841304227927384,5f35d79293a88f0023c8d6a1,-111.960392,227.920784,lqr
0,0,0.0031981793570993,6.428162413939667,5f35d97e93a88f0023c8d9d4,-89.469556,182.939112,lqr
0,0,0.0036348596321763,1.7307998052084517,5f35d72593a88f0023c8d671,-122.713859,249.427718,lqr
0,0,0.0215834915981771,0.3417333433730651,5f35d7d393a88f0023c8d6f4,-120.775829,245.551658,lqr
0,0,0.0014251265431943,1.214701219086418,5f35d90c93a88f0023c8d8d0,-138.029698,280.059396,lqr
0,0,0.001,4.250252029726894,5f35da4f93a88f0023c8dc28,-111.876555,227.75311,lqr
