,Unnamed: 0,b,exp_param,n,vm_param,pp_id,ll,AIC,agent_type
0,0,6.762918234068106,0.0146655190236891,2.155099155639723,5.536325106910428,5f35d6ae93a88f0023c8d644,-62.96121639999999,133.92243279999997,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d62693a88f0023c8d611,-101.2222379,210.4444758,null_model_1
0,0,4.419512946706218,0.0428356927296962,1.1975855385332572,1.5045502836766345,5f35d80893a88f0023c8d735,-109.0218731,226.0437462,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d6af93a88f0023c8d646,-82.8853302,173.7706604,null_model_1
0,0,7.745474306334555,0.0118778450696755,4.033113041907985,3.199528380776784,5f35d65d93a88f0023c8d629,-102.1292059,212.2584118,null_model_1
0,0,3.7304994212337097,0.0629676608371667,4.986088056985954,3.02373909155191,5f35d65893a88f0023c8d625,-79.07155569999999,166.14311139999998,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d60a93a88f0023c8d608,-82.2000895,172.400179,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d5ee93a88f0023c8d5fe,-106.2716148,220.5432296,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d64293a88f0023c8d61c,-85.32039369999998,178.64078739999997,null_model_1
0,0,2.946706627471156,0.0712631081739097,2.8960251599522184,3.4916741295707734,5f35d5d093a88f0023c8d5f7,-82.33444130000001,172.66888260000002,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d8e393a88f0023c8d887,-101.1442926,210.2885852,null_model_1
0,0,8.692837452563518,0.0145656524124917,1.7269805227473891,4.367292647244428,5f35d78293a88f0023c8d697,-92.6105179,193.2210358,null_model_1
0,0,1.0108746662816697,0.0241588745491021,2.5136013461293985,4.090003638015547,5f35d73b93a88f0023c8d678,-77.41448510000001,162.8289702,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d74693a88f0023c8d67e,-82.4875368,172.9750736,null_model_1
0,0,4.405997271467872,0.0120159038286989,1.1142616415452693,3.8524354716299447,5f35d76593a88f0023c8d688,-78.14548380000001,164.29096760000002,null_model_1
0,0,18.159128599399256,0.0143052675909768,1.1063546874743992,2.9913307897850427,5f35d61893a88f0023c8d60c,-83.1077254,174.2154508,null_model_1
0,0,1.991295326312951,0.0164283459142508,2.2207039589021864,9.09212166914633,5f35d72f93a88f0023c8d675,-48.033936,104.067872,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d7da93a88f0023c8d703,-97.3102218,202.6204436,null_model_1
0,0,2.357875265995885,0.0863047489840474,4.92564186301645,6.0950192577349664,5f35d64493a88f0023c8d61e,-63.2129704,134.42594079999998,null_model_1
0,0,2.091581804349218,0.1143961921265217,1.0215843057497476,3.2203091669883213,5f35d74293a88f0023c8d67c,-90.221092,188.442184,null_model_1
0,0,29.043677767372493,0.0149855581311177,1.0867595927119962,2.7537289009917187,5f35d67e93a88f0023c8d634,-111.3636258,230.7272516,null_model_1
0,0,4.853638829116763,0.0322892777675513,1.223215797811671,4.937349334297807,5f35d78493a88f0023c8d69f,-68.94690270000001,145.89380540000002,null_model_1
0,0,3.174502744552338,0.0046739048429712,3.372616735065073,1.8472666176335408,5f35d7a693a88f0023c8d6b2,-120.4070297,248.8140594,null_model_1
0,0,2.228343762572014,0.009165082306676,1.941971686129576,2.0118800415775207,5f35d6aa93a88f0023c8d642,-106.8158407,221.6316814,null_model_1
0,0,7.745474306334555,0.0118778450696755,4.033113041907985,3.199528380776784,5f35d68993a88f0023c8d637,-97.0167071,202.0334142,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d71a93a88f0023c8d66c,-91.6937766,191.3875532,null_model_1
0,0,4.419512946706218,0.0428356927296962,1.1975855385332572,1.5045502836766345,5f35d60393a88f0023c8d605,-100.8923993,209.7847986,null_model_1
0,0,1.0444320272381065,0.1009213957879039,4.036700885433055,1.7226268184702165,5f35d73d93a88f0023c8d679,-91.1524246,190.3048492,null_model_1
