,Unnamed: 0,attention_cost,exp_param,vm_param,pp_id,ll,AIC,agent_type
0,0,187.8828179971223,0.009781855565012,6.646894851961292,5f35d6ae93a88f0023c8d644,-75.813525,157.62705,sparse_lqr
0,0,218.15709817352007,0.0292373083896457,2.129222143319934,5f35d62693a88f0023c8d611,-92.127025,190.25405,sparse_lqr
0,0,76.14185999585644,0.1093407354608975,1.9924485227135191,5f35d80893a88f0023c8d735,-84.053346,174.106692,sparse_lqr
0,0,100.69914034939494,0.0532606334910392,6.051167805003662,5f35d6af93a88f0023c8d646,-61.979632,129.95926400000002,sparse_lqr
0,0,143.94654532832604,0.0031728285749192,1.1945913888450876,5f35d65d93a88f0023c8d629,-125.453618,256.907236,sparse_lqr
0,0,150.60114481566498,0.0240325907633504,3.7765096227341,5f35d65893a88f0023c8d625,-77.348441,160.696882,sparse_lqr
0,0,106.7719930849192,0.3044822959546899,7.973714592161337,5f35d60a93a88f0023c8d608,-42.713413,91.426826,sparse_lqr
0,0,285.5327079101555,0.0518614711333703,2.350718640910145,5f35d5ee93a88f0023c8d5fe,-87.38893,180.77786,sparse_lqr
0,0,211.60344620060417,0.0293577860475859,4.213388377112301,5f35d64293a88f0023c8d61c,-78.296517,162.593034,sparse_lqr
0,0,214.6587693368405,0.0710243911271182,5.768748155158802,5f35d5d093a88f0023c8d5f7,-59.436338,124.872676,sparse_lqr
0,0,220.59992339362336,0.019722287967418,4.92986806113104,5f35d8e393a88f0023c8d887,-76.82141,159.64282,sparse_lqr
0,0,283.7474394328586,0.0124571071185729,7.527787103940068,5f35d78293a88f0023c8d697,-55.68586,117.37172,sparse_lqr
0,0,214.148015492622,0.0255388510834781,4.18504404616201,5f35d73b93a88f0023c8d678,-73.197708,152.395416,sparse_lqr
0,0,246.3392369207314,0.0399732647662708,2.0973070502571067,5f35d74693a88f0023c8d67e,-90.377195,186.75439,sparse_lqr
0,0,270.4680345775403,0.019636032502568,3.453718665320665,5f35d76593a88f0023c8d688,-87.009772,180.019544,sparse_lqr
0,0,300.0,0.001,3.735428313788812,5f35d61893a88f0023c8d60c,-106.621792,219.243584,sparse_lqr
0,0,277.41125446080844,0.0656752434581073,9.913465087318093,5f35d72f93a88f0023c8d675,-36.344254,78.688508,sparse_lqr
0,0,63.229350740611615,0.0424336044969223,3.218287999702445,5f35d7da93a88f0023c8d703,-76.022033,158.044066,sparse_lqr
0,0,76.46802913925987,0.0961034720332473,6.346881053427581,5f35d64493a88f0023c8d61e,-60.585258,127.170516,sparse_lqr
0,0,185.30341152078017,0.0884179357187633,6.562795973069385,5f35d74293a88f0023c8d67c,-55.219471,116.438942,sparse_lqr
0,0,142.5080417448146,0.0169504265876635,1.1663951816198237,5f35d67e93a88f0023c8d634,-107.233315,220.46663,sparse_lqr
0,0,141.32838619685333,0.0306444606133772,4.246453917940848,5f35d78493a88f0023c8d69f,-74.816145,155.63229,sparse_lqr
0,0,156.58817431038744,0.0090439162264521,2.183757349712044,5f35d7a693a88f0023c8d6b2,-109.003588,224.007176,sparse_lqr
0,0,279.5916207590512,0.0149376214026214,2.3436208612142053,5f35d6aa93a88f0023c8d642,-99.054119,204.108238,sparse_lqr
0,0,184.36063343879655,0.0110631166042726,2.42658205305828,5f35d68993a88f0023c8d637,-99.103983,204.207966,sparse_lqr
0,0,94.12742382638486,0.0307426140671779,2.056448192487073,5f35d71a93a88f0023c8d66c,-97.077036,200.154072,sparse_lqr
0,0,191.8072735743292,0.0579415655757156,2.5433304042440605,5f35d60393a88f0023c8d605,-82.664052,171.328104,sparse_lqr
0,0,29.832168874676768,0.115919977038196,3.734071317371953,5f35d73d93a88f0023c8d679,-65.596934,137.193868,sparse_lqr
