,Unnamed: 0,attention_cost,exp_param,step_size,vm_param,weighting,pp_id,pp_closeness,pp_final_reached,ll,AIC,agent_type
0,0,2.116261342310976,0.07439318770576321,0.022115686349920397,9.71820072977926,0.4,5f35d6ae93a88f0023c8d644,459.2910697697265,0,-24.449045714149488,56.898091428298976,sparse_least_squares
0,0,28.05648926459582,0.018364300099152974,0.025131063502469183,2.4866980885727004,0.4,5f35d62693a88f0023c8d611,143.9603962022939,0,-88.60883403979717,185.21766807959438,sparse_least_squares
0,0,5.0842281870081685,0.16332641462076808,0.6602794233025354,1.2589221178647796,0.4,5f35d80893a88f0023c8d735,15.431887230366184,1,-87.19705561065426,182.3941112213085,sparse_least_squares
0,0,9.315129060429587,0.04141258425839192,0.00015967502446756487,3.3639661671678303,0.4,5f35d6af93a88f0023c8d646,119.1854287679486,0,-73.63204605955845,155.2640921191169,sparse_least_squares
0,0,29.20586043968439,0.008288097332295645,0.1854909649671828,2.6846848035970403,0.4,5f35d65d93a88f0023c8d629,325.0991162405385,0,-97.09335493368715,202.1867098673744,sparse_least_squares
0,0,0.5964040151938677,0.027184775890841558,0.04245973203119191,2.462110676030459,0.4,5f35d65893a88f0023c8d625,145.21467231410526,0,-79.39243440253023,166.78486880506046,sparse_least_squares
0,0,20.849744765893085,0.07027323320209686,0.08855365763612305,2.850354135619284,0.4,5f35d60a93a88f0023c8d608,66.0819884715788,1,-71.68548126071651,151.37096252143303,sparse_least_squares
0,0,2.712291470843958,0.1298470081581338,0.15789378999418036,1.7272746332288005,0.4,5f35d5ee93a88f0023c8d5fe,35.879440613765674,1,-89.97173465038173,187.94346930076347,sparse_least_squares
0,0,15.071572399168275,0.07138238800473454,0.6201777738659674,3.7544699002128863,0.4,5f35d64293a88f0023c8d61c,211.62492820092612,0,-69.51036092951455,147.0207218590291,sparse_least_squares
0,0,12.829952990908925,0.10034112235267363,0.17255251807536934,3.7340713173719533,0.4,5f35d5d093a88f0023c8d5f7,143.183158888167,0,-79.70971339602542,167.41942679205084,sparse_least_squares
0,0,19.303875667224148,0.046452717824563165,0.6953356364275678,3.3475134371366377,0.4,5f35d8e393a88f0023c8d887,61.35152580890704,1,-81.49549140184742,170.99098280369483,sparse_least_squares
0,0,30.0,0.03,0.0,2.0,0.4,5f35d78293a88f0023c8d697,301.8414185709578,0,-86.77300901366982,181.54601802733964,sparse_least_squares
0,0,8.231533528434491,0.2793673488065629,0.041913220137462126,9.62707799265482,0.4,5f35d73b93a88f0023c8d678,196.40959990940053,0,-49.406201657763205,106.81240331552641,sparse_least_squares
0,0,19.303875667224148,0.046452717824563165,0.6953356364275678,3.3475134371366377,0.4,5f35d74693a88f0023c8d67e,127.97132573844802,0,-79.8805806273309,167.76116125466174,sparse_least_squares
0,0,17.671830695499235,0.01121569443803692,0.0045674490900566855,9.951187010095124,0.4,5f35d76593a88f0023c8d688,250.00953874337466,0,-62.53495742165753,133.06991484331508,sparse_least_squares
