,Unnamed: 0,Unnamed: 0.1,exp_param,vm_param,pp_id,ll,AIC,agent_type,step_size,attention_cost
0,0,0,0.1009396460690557,9.999999979006178,5f35d6ae93a88f0023c8d644,-24.543964,53.087928,null_model_2,,
1,0,0,0.030690086450279,2.891149536971777,5f35d62693a88f0023c8d611,-87.003078,180.006156,hill_climbing,0.195420261062668,
2,0,0,0.1582135787798728,1.7496452946503571,5f35d80893a88f0023c8d735,-76.235747,160.471494,sparse_max_discrete,0.9122361391803414,1.6887051063988023
3,0,0,0.0550595466636758,8.424458099564136,5f35d6af93a88f0023c8d646,-60.745297,129.490594,sparse_max_discrete,0.1957660070088989,24.43857543784966
4,0,0,0.0151839871060048,1.585286094453349,5f35d65d93a88f0023c8d629,-99.471674,206.943348,sparse_max_continuous,0.6716868113227574,4.624436887229967
5,0,0,0.0282609522657774,7.961181404074184,5f35d65893a88f0023c8d625,-62.124999,130.249998,hill_climbing,0.4770707744660368,
6,0,0,0.3044822959546899,7.973714592161337,5f35d60a93a88f0023c8d608,-42.713413,91.426826,sparse_lqr,,106.7719930849192
7,0,0,0.1850839949186631,1.6568019919812904,5f35d5ee93a88f0023c8d5fe,-81.044119,170.088238,sparse_max_discrete,0.6140429147449786,26.4891403205752
8,0,0,0.0228543287102779,3.539380320026838,5f35d64293a88f0023c8d61c,-76.305818,158.611636,hill_climbing,0.5738901518626307,
9,0,0,0.0964069771921544,5.767202492870159,5f35d5d093a88f0023c8d5f7,-57.61408,121.22816,hill_climbing,0.1417029834479735,
10,0,0,0.0464366635246237,6.399745691089123,5f35d8e393a88f0023c8d887,-70.716756,149.433512,sparse_max_continuous,0.417492196270353,14.705859367326951
11,0,0,0.0189747131330447,9.97067815804338,5f35d78293a88f0023c8d697,-51.705855,107.41171,null_model_2,,
12,0,0,0.0407644353675027,9.988809296430748,5f35d73b93a88f0023c8d678,-53.395664,114.791328,sparse_max_continuous,0.0626611003338145,6.797664750105179
13,0,0,0.0521183252380086,2.59024571557432,5f35d74693a88f0023c8d67e,-76.026513,160.053026,sparse_max_discrete,1.0827348969214463,3.69854046717893
14,0,0,0.0184426871565553,4.181557647504252,5f35d76593a88f0023c8d688,-81.210424,166.420848,null_model_2,,
15,0,0,0.0337195503590681,9.645212966587676,5f35d61893a88f0023c8d60c,-53.260025,112.52005,hill_climbing,0.0329920480619405,
16,0,0,0.1314372018433648,9.992051426604894,5f35d72f93a88f0023c8d675,-31.084952,68.169904,hill_climbing,0.2169731852319835,
17,0,0,0.075445167948429,3.6185649296799216,5f35d7da93a88f0023c8d703,-71.61935,151.2387,sparse_max_continuous,0.1118844553107596,0.7742149033171264
18,0,0,0.0966399042880484,5.659360577947028,5f35d64493a88f0023c8d61e,-55.533438,117.066876,hill_climbing,0.6307878204978397,
19,0,0,0.5460290760631332,7.254672760274114,5f35d74293a88f0023c8d67c,-44.895717,97.791434,sparse_max_discrete,0.3179465228667245,0.694400814146778
20,0,0,0.0273433017664405,1.6344193408619625,5f35d67e93a88f0023c8d634,-103.754545,215.50909,sparse_max_discrete,0.3545765811357182,14.720526766601004
21,0,0,0.0473489460297035,5.096943481001174,5f35d78493a88f0023c8d69f,-69.231238,144.462476,hill_climbing,0.5008461802199364,
22,0,0,0.0090439162264521,2.183757349712044,5f35d7a693a88f0023c8d6b2,-109.003588,224.007176,sparse_lqr,,156.58817431038744
23,0,0,0.0149376214026214,2.3436208612142053,5f35d6aa93a88f0023c8d642,-99.054119,204.108238,sparse_lqr,,279.5916207590512
24,0,0,0.0149437235465498,3.9375211827934544,5f35d68993a88f0023c8d637,-90.850589,187.701178,hill_climbing,0.4189300202624101,
25,0,0,0.0268998669914856,2.8130127253681136,5f35d71a93a88f0023c8d66c,-92.756867,193.513734,sparse_max_discrete,0.6922818798706718,21.769276364846068
26,0,0,0.1374357958918098,2.903948944803749,5f35d60393a88f0023c8d605,-74.349975,156.69995,sparse_max_discrete,0.7865174263640522,10.64689011049794
27,0,0,0.2595449119609461,4.161118282176619,5f35d73d93a88f0023c8d679,-51.505652,111.011304,sparse_max_discrete,0.6957532713802248,7.97022145218246
28,0,0,0.0941216111574409,9.932664390738026,5f35d76793a88f0023c8d689,-42.525976,91.051952,hill_climbing,0.2657383864275714,
29,0,0,0.0743931877057632,9.71820072977926,5f35d90b93a88f0023c8d8cf,-45.657057,99.314114,sparse_max_continuous,0.0221156863499203,2.116261342310976
30,0,0,0.041505032213157,6.445099580899665,5f35d73993a88f0023c8d677,-61.857979,131.715958,sparse_max_discrete,0.7753953674328751,5.350721693456113
31,0,0,0.0566427142993925,3.560164860311865,5f35d77893a88f0023c8d690,-78.293759,162.587518,hill_climbing,0.4407937282058162,
32,0,0,0.044670078193981,5.185983493944932,5f35d77893a88f0023c8d691,-69.744089,145.488178,hill_climbing,0.517798595294994,
33,0,0,0.0193536828519786,5.348360247587256,5f35d63393a88f0023c8d617,-72.134743,152.269486,sparse_max_continuous,0.1750857119752678,20.902741995203773
34,0,0,0.04533967856618,2.955403597187268,5f35d79b93a88f0023c8d6aa,-83.469839,174.939678,sparse_max_continuous,0.0546013114489109,2.1697526061624983
35,0,0,0.1157788726766835,4.985299895326525,5f35d63193a88f0023c8d616,-58.892411,123.784822,hill_climbing,0.2691819907818397,
36,0,0,0.0290426148619229,6.31254768071472,5f35d65393a88f0023c8d623,-66.776274,139.552548,sparse_lqr,,241.0199968012776
37,0,0,0.2451698069818453,9.32625375738426,5f35d6f793a88f0023c8d65f,-45.160678,98.321356,sparse_max_discrete,0.7622266292426986,8.632361086781962
