,closeness,condition,endogenous,exogenous_input,final_goal_distance,final_reached,id,input_cost,pp_id,seconds,total_cost
0,333.983173228832,51,"[206.0, -151.0, 29.0, -117.4, -178.0]","[0.0, 0.0, -10.0, 0.0]",333.983173228832,0.0,0.0,1.0,5f35d6ae93a88f0023c8d644,14.449,111545.76000000001
1,302.2870159302248,51,"[206.0, -62.0, 118.0, -78.8, -158.0]","[0.0, 2.0, 0.0, 0.0]",302.2870159302248,0.0,1.0,0.04,5f35d6ae93a88f0023c8d644,9.787,91378.47999999998
2,315.49015832510526,51,"[206.0, 17.0, 197.0, -40.199999999999996, -128.0]","[0.0, 3.0, 0.0, 0.0]",315.49015832510526,0.0,2.0,0.09,5f35d6ae93a88f0023c8d644,13.052,99535.16999999998
3,358.865657314823,51,"[206.0, 81.0, 261.0, -1.5999999999999943, -108.0]","[0.0, 2.0, 0.0, 0.0]",358.865657314823,0.0,3.0,0.04,5f35d6ae93a88f0023c8d644,19.883,128785.72999999998
4,424.75551791589476,51,"[208.0, 140.0, 323.0, 39.500000000000014, -108.0]","[1.0, 0.0, 1.0, 1.0]",424.75551791589476,0.0,4.0,0.03,5f35d6ae93a88f0023c8d644,11.088,180418.45
5,467.51966803547424,51,"[200.0, 194.0, 357.0, 75.80000000000001, -88.0]","[0.0, 2.0, -4.0, 0.0]",467.51966803547424,0.0,5.0,0.2,5f35d6ae93a88f0023c8d644,11.874,218576.04000000004
6,525.2685027678701,51,"[202.0, 233.0, 403.0, 111.00000000000001, -78.0]","[-1.0, 1.0, 1.0, -1.0]",525.2685027678701,0.0,6.0,0.04,5f35d6ae93a88f0023c8d644,5.933,275908.44
7,580.427265038437,51,"[204.0, 267.0, 444.0, 149.10000000000002, -68.0]","[-1.0, 1.0, 1.0, 0.0]",580.427265038437,0.0,7.0,0.03,5f35d6ae93a88f0023c8d644,8.006,336897.27999999997
8,618.5017461575998,51,"[198.0, 301.0, 463.0, 187.10000000000002, -58.0]","[0.0, 1.0, -3.0, 1.0]",618.5017461575998,0.0,8.0,0.10999999999999999,5f35d6ae93a88f0023c8d644,6.233,382545.99
9,665.8119929830042,51,"[198.0, 330.0, 492.0, 223.10000000000002, -58.0]","[0.0, 0.0, 0.0, 0.0]",665.8119929830042,0.0,9.0,0.0,5f35d6ae93a88f0023c8d644,1.357,443307.19000000006
10,118.863366938683,50,"[97.0, -58.5, -35.5, 6.0, 1.0]","[0.0, 15.0, -7.0, -49.0]",118.863366938683,0.0,10.0,26.75,5f35d62693a88f0023c8d611,70.302,14155.249999999998
11,137.1247971739612,50,"[71.0, -59.0, -101.0, 8.899999999999999, 1.0]","[0.0, 0.0, -13.0, 0.0]",137.1247971739612,0.0,11.0,1.69,5f35d62693a88f0023c8d611,19.12,18831.65
12,212.4682329196532,50,"[37.0, -74.5, -195.5, -1.5000000000000036, 1.0]","[-3.0, 0.0, -17.0, -1.0]",212.4682329196532,0.0,12.0,2.9899999999999998,5f35d62693a88f0023c8d611,13.87,45174.18
13,174.15363906619925,50,"[29.0, 0.0, -171.0, -15.700000000000005, 1.0]","[15.0, 0.0, -4.0, 0.0]",174.15363906619925,0.0,13.0,2.41,5f35d62693a88f0023c8d611,19.185,30363.33
14,234.70276947662973,50,"[5.0, -0.5, -231.5, -38.300000000000004, 1.0]","[0.0, 0.0, -12.0, 0.0]",234.70276947662973,0.0,14.0,1.44,5f35d62693a88f0023c8d611,9.504,55120.66999999999
15,171.00888865787064,50,"[31.0, -1.0, -167.0, -19.800000000000004, 1.0]","[0.0, 0.0, 13.0, 16.0]",171.00888865787064,0.0,15.0,4.25,5f35d62693a88f0023c8d611,18.601,29283.569999999996
16,99.5025125310914,50,"[99.0, -1.5, 2.5, -9.500000000000004, 1.0]","[0.0, 0.0, 34.0, 0.0]",99.5025125310914,0.0,16.0,11.56,5f35d62693a88f0023c8d611,19.742,9951.84
17,95.36435392745028,50,"[95.0, -2.0, -8.0, -0.600000000000005, 1.0]","[0.0, 0.0, -2.0, 0.0]",95.36435392745028,0.0,17.0,0.04,5f35d62693a88f0023c8d611,24.557,9145.490000000002
18,97.51666524240869,50,"[97.0, -2.5, -3.5, 8.999999999999996, 1.0]","[0.0, 0.0, 1.0, 0.0]",97.51666524240869,0.0,18.0,0.01,5f35d62693a88f0023c8d611,5.696,9560.64
19,98.89873608899154,50,"[97.0, -3.0, -4.0, 18.599999999999998, 1.0]","[0.0, 0.0, 0.0, 0.0]",98.89873608899154,0.0,19.0,0.0,5f35d62693a88f0023c8d611,3.948,9832.099999999997
20,99.99704995648622,60,"[-8.0, -21.0, -42.0, -87.9, 2.0]","[-7.0, -5.0, 0.0, 0.0]",99.99704995648622,0.0,20.0,0.74,5f35d80893a88f0023c8d735,16.288,10000.150000000001
21,13.770983988081607,60,"[0.0, -2.0, -11.0, -0.8000000000000114, -8.0]","[4.0, -1.0, 4.0, 44.0]",13.770983988081607,1.0,21.0,19.689999999999998,5f35d80893a88f0023c8d735,27.615,210.07
22,5.7523908073078625,60,"[4.0, 2.0, 3.0, -0.30000000000001137, 2.0]","[0.0, 1.0, 2.0, 0.0]",5.7523908073078625,1.0,22.0,0.05,5f35d80893a88f0023c8d735,13.789,53.57000000000001
23,4.272001872658767,60,"[2.0, 1.0, -3.0, -0.5000000000000114, 2.0]","[0.0, 0.0, -1.0, 0.0]",4.272001872658767,1.0,23.0,0.01,5f35d80893a88f0023c8d735,6.528,38.74000000000001
24,4.948737212663451,60,"[2.0, 0.0, -4.0, -0.7000000000000115, 2.0]","[0.0, 0.0, 0.0, 0.0]",4.948737212663451,1.0,24.0,0.0,5f35d80893a88f0023c8d735,7.627,44.98000000000002
25,5.404627646748666,60,"[2.0, 4.0, -2.0, -1.1000000000000116, 2.0]","[1.0, 0.0, 0.0, 0.0]",5.404627646748666,1.0,25.0,0.01,5f35d80893a88f0023c8d735,11.882,49.71000000000002
26,5.315072906367328,60,"[2.0, 3.0, -3.0, -1.5000000000000118, 2.0]","[0.0, 0.0, 0.0, 0.0]",5.315072906367328,1.0,26.0,0.0,5f35d80893a88f0023c8d735,7.482,48.750000000000036
27,5.622277118748243,60,"[2.0, 2.0, -4.0, -1.900000000000012, 2.0]","[0.0, 0.0, 0.0, 0.0]",5.622277118748243,1.0,27.0,0.0,5f35d80893a88f0023c8d735,6.527,52.11000000000004
28,4.599999999999999,60,"[4.0, 1.0, 0.0, 0.39999999999998814, 2.0]","[0.0, 0.0, 1.0, 1.0]",4.599999999999999,1.0,28.0,0.02,5f35d80893a88f0023c8d735,11.72,41.67999999999999
29,4.635730794599702,60,"[4.0, 0.0, -1.0, 0.6999999999999882, 2.0]","[0.0, 0.0, 0.0, 0.0]",4.635730794599702,1.0,29.0,0.0,5f35d80893a88f0023c8d735,1.027,42.00999999999999
30,176.6917089169721,53,"[22.0, 23.0, -85.0, -148.6, -30.0]","[10.0, 0.0, -20.0, 0.0]",176.6917089169721,0.0,30.0,5.0,5f35d6af93a88f0023c8d646,59.395,31224.959999999995
31,129.0427836029586,53,"[42.0, 38.0, -20.0, -110.19999999999999, -30.0]","[0.0, 0.0, 10.0, 20.0]",129.0427836029586,0.0,31.0,5.0,5f35d6af93a88f0023c8d646,22.796,16662.04
32,143.3912131199119,53,"[62.0, 53.0, 45.0, -104.79999999999998, -30.0]","[0.0, 0.0, 10.0, 0.0]",143.3912131199119,0.0,32.0,1.0,5f35d6af93a88f0023c8d646,29.292,20572.039999999994
33,150.0598547247064,53,"[62.0, 48.0, 48.0, -118.59999999999998, 0.0]","[-4.0, 3.0, 0.0, -10.0]",150.0598547247064,0.0,33.0,1.25,5f35d6af93a88f0023c8d646,26.985,22530.209999999992
34,180.6083054568643,53,"[62.0, 98.0, 78.0, -114.39999999999998, 0.0]","[10.0, 0.0, 0.0, 0.0]",180.6083054568643,0.0,34.0,1.0,5f35d6af93a88f0023c8d646,26.858,32632.609999999993
35,117.70220898521828,53,"[72.0, 3.0, 46.0, -80.89999999999998, 0.0]","[-19.0, 0.0, 5.0, 11.0]",117.70220898521828,0.0,35.0,5.07,5f35d6af93a88f0023c8d646,32.583,13872.129999999997
36,98.73884747149927,53,"[72.0, 3.0, 46.0, -49.39999999999998, 0.0]","[0.0, 0.0, 0.0, 10.0]",98.73884747149927,0.0,36.0,1.0,5f35d6af93a88f0023c8d646,17.638,9768.679999999997
