Unnamed: 0,Unnamed: 0.1,situation,llh_sparsemax_to_lqr,llh_sparsemax_to_sparsemax,llh_sparsemax_to_nm2,llh_lqr_to_sparsemax,llh_lqr_to_lqr,llh_lqr_to_nm2,llh_nm2_to_sparsemax,llh_nm2_to_lqr,llh_nm2_to_nm2,sparsemax_score_deterministic,sparsemax_score_noisy,lqr_score,nm2_score_deterministic,nm2_score_noisy,starting_cost,min_llh_diff,sum_llh_diff,AIC_sparsemax_to_sparsemax,AIC_sparsemax_to_lqr,AIC_sparsemax_to_nm2,AIC_lqr_to_sparsemax,AIC_lqr_to_lqr,AIC_lqr_to_nm2,AIC_nm2_to_sparsemax,AIC_nm2_to_lqr,AIC_nm2_to_nm2,sparsemax_generated_posterior,lqr_generated_posterior,nm2_generated_posterior,posterior_sum,ease,condition,root_cost
0,0,"[-84, 219, 125, -84, 132]",-196.518570416056,-112.86712205787772,-184.1210247550326,-61.10770722883101,-51.53109311706412,-59.290741119989534,-58.70753856585528,-113.28620838869644,-56.67639165320445,92207.086,426469.94,9.346076011657717,tensor(573830.),114050.45,95122,0.0,2250.035058170045,233.73424411575544,397.037140832112,372.2420495100652,130.215414457662,107.06218623412823,122.58148223997907,125.41507713171056,230.57241677739287,117.3527833064089,1.0,0.9995642003146339,0.9825557484397136,2.9821199487543475,426460.59392398834,informative,653.0466598949879
0,0,"[-88, 3, 58, 82, 231]",-117.26879336762518,-90.05335033283893,-113.03533438134193,-64.80990672344788,-54.83779915133013,-80.74909546863995,-62.90224484416145,-114.48837847246348,-61.09958714744346,215814.69,603071.7,21.829376220703125,tensor(2594019.),151142.08,71202,0.0,1070.7999470479847,188.10670066567786,238.53758673525036,230.07066876268385,137.61981344689576,113.67559830266026,165.4981909372799,133.80448968832292,232.97675694492696,126.19917429488692,0.9999999999888038,0.9999936820325431,0.9781755381467312,2.978169220168078,603049.8706237793,informative,776.5769118380999
0,0,"[-78, -67, -202, -177, -199]",-116.77750335647644,-98.6602160070166,-118.46651536222063,-103.60926771828836,-96.33453566759424,-104.45394953752518,-62.8917930736621,-114.63163889206336,-61.282144218172654,87258.11,2243287.5,15.069629669189451,tensor(1687818.),133080.38,122307,0.0,865.5651108081636,205.3204320140332,237.5550067129529,240.93303072444127,215.21853543657673,196.66907133518848,212.90789907505035,133.7835861473242,233.26327778412673,126.56428843634531,0.9999998999191472,0.9996086863168013,0.9736516735792015,2.97326025981515,2243272.430370331,informative,1497.760828703969
0,0,"[-140, 17, 95, 220, 85]",-128.14993890822942,-88.98705081198442,-116.0739440487989,-76.74089927278236,-43.90906255577915,-75.67441280916384,-59.4040254847573,-111.93090764309788,-57.98056366118645,71317.39,3842406.8,58.28887176513672,tensor(327153.),88874.586,84539,0.0,1259.22009778428,185.97410162396883,260.29987781645883,236.1478880975978,161.48179854556471,91.8181251115583,155.34882561832768,126.8080509695146,227.86181528619576,119.9611273223729,0.9999999999999999,0.9999999999999831,0.9684297836202443,2.9684297836202274,3842348.5111282347,informative,1960.2058055214509
0,0,"[204, -158, 121, -59, 25]",-115.71626396874932,-88.77810300616127,-108.4331081988564,-85.45602949270884,-59.64106466679107,-98.18334346309288,-55.3771901411342,-110.6733247233695,-54.00135348350851,51924.613,2566092.2,31.931291580200195,tensor(302122.0625),143522.84,85327,0.0,1046.1188934443676,185.55620601232255,235.43252793749863,220.8662163977128,178.91205898541767,123.28212933358213,200.36668692618576,118.7543802822684,225.346649446739,112.00270696701702,0.999999999985226,0.9999999999991681,0.9669407769199572,2.9669407769043517,2566060.26870842,informative,1601.9026811888418
0,0,"[111, -133, -75, 92, -149]",-109.50671704876352,-80.6318001234283,-98.6210006831907,-58.53215773250501,-44.96919150352921,-57.706045489944685,-56.755144168293455,-109.38697483994652,-55.379948648596816,240943.72,485780.56,19.75543975830078,tensor(926087.),73286.4,66300,0.0,1053.6572968365288,169.2636002468566,223.01343409752704,201.2420013663814,125.06431546501003,93.93838300705842,119.41209097988937,121.51028833658691,222.77394967989304,114.75989729719363,0.99999999999787,0.9999968850668174,0.9669202759688817,2.966917161033569,485760.8045602417,informative,696.97959797974
0,0,"[226, -240, -10, -156, -178]",-184.82780408144376,-116.36974767581816,-189.85383197978268,-113.13136045458243,-49.35610642763295,-112.48171175743644,-57.9246403703705,-115.34682086679042,-56.64335462836628,33117.44,3082900.8,43.79636001586914,tensor(1369660.),173655.45,164796,0.0,2132.59914857616,240.73949535163632,373.6556081628875,383.70766395956537,234.26272090916487,102.7122128552659,228.9634235148729,123.849280740741,234.69364173358085,117.28670925673256,1.0,1.0,0.9637811918020672,2.963781191802067,3082857.003639984,informative,1755.8191250809407
0,0,"[157, 119, -204, 7, -35]",-156.53076292743307,-108.18842780274278,-153.144085976851,-113.28659205312296,-70.88722351033307,-112.82222398158817,-55.72117282646879,-112.8633854993942,-54.45069491059901,56501.0,385160.97,146.6511993408203,tensor(138432.),98411.65,81700,0.0,1580.1254126014285,224.37685560548556,317.06152585486615,310.288171953702,234.57318410624592,145.77444702066614,229.64444796317633,119.44234565293758,229.7267709987884,112.90138982119802,1.0,1.0,0.9634020260843075,2.9634020260843075,385014.31880065915,informative,620.6133820664843
0,0,"[170, -104, -133, -6, -73]",-121.23390657533255,-84.31623706210745,-109.09647145928768,-67.38551605108935,-58.47638687150895,-67.1944235636909,-63.835675534178,-115.35273256988856,-62.58665914163379,518027.25,16687646.0,64.4876937866211,tensor(174399.),82589.78,62770,0.0,1033.9434088973894,176.6324741242149,246.4678131506651,222.19294291857537,142.7710321021787,120.9527737430179,138.3888471273818,135.671351068356,234.70546513977712,129.17331828326758,0.9999999999999992,0.9998181344999286,0.9626377520186449,2.9624558865185726,16687581.512306213,informative,4085.051529662753
0,0,"[-119, -21, -59, 174, 101]",-121.06802656434716,-97.03673244928396,-118.27930171488966,-45.84640393887486,-32.16710470199849,-50.69718787906764,-59.571813806011775,-112.2312737237617,-58.344961220567335,89905.13,349096.38,21.93780517578125,tensor(619423.),223410.62,58560,0.0,1469.324647391088,202.07346489856792,246.13605312869433,240.5586034297793,99.69280787774971,68.33420940399698,105.39437575813528,127.14362761202355,228.4625474475234,120.68992244113467,0.9999999997296474,0.9999998359523782,0.9618323764502404,2.961832212132266,349074.4421948242,informative,590.8437864613624
0,0,"[-117, 249, 246, -225, 142]",-144.9577985218394,-96.33454878892036,-137.6578822860943,-62.259404256659366,-43.53345406864654,-62.25369143846424,-56.64126277925509,-116.23241920016544,-55.438631069211205,92314.12,3539039.5,36.270652770996094,tensor(580695.),363337.28,206995,0.0,1611.2366033113951,200.66909757784072,293.9155970436788,279.3157645721886,132.51880851331873,91.06690813729308,128.5073828769285,121.28252555851017,236.46483840033088,114.87726213842241,1.0,0.9999999915912133,0.9609331930870495,2.9609331846782627,3539003.229347229,informative,1881.233504911073
0,0,"[117, -241, -135, 88, -100]",-141.69938263593153,-104.39878179181132,-143.5189353967618,-60.07171167601547,-41.68122914516774,-59.78196556629552,-59.34081657460986,-110.53964453678768,-58.13909671567707,89921096.0,386555.0,18.393505096435547,tensor(320716.),166255.78,107739,0.0,1610.0923098340222,216.79756358362263,287.39876527186306,291.0378707935236,128.14342335203094,87.36245829033548,123.56393113259104,126.68163314921972,225.07928907357535,120.27819343135414,0.9999999999999996,0.9999999848346443,0.9608989472657401,2.960898932100384,386536.60649490356,informative,621.7354742975505
0,0,"[129, 100, 39, -234, -193]",-129.13107605449866,-99.76660820586268,-128.0060951670533,-42.55931260647013,-27.385809135053915,-61.120555699453405,-58.40250098324018,-112.26991129371044,-57.23330223416623,623020.5,964590.2,46.33738708496094,tensor(2223687.),366963.8,120167,0.0,1629.5174814024788,207.53321641172536,262.2621521089973,260.0121903341066,93.11862521294026,58.77161827010783,126.24111139890681,124.80500196648036,228.53982258742087,118.46660446833246,0.9999999999986946,0.9999999651949534,0.9596585763764544,2.959658541570102,964543.862612915,informative,982.1355303622815
