,situation,model,performance
0,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
1,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,354.3260392102496
2,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,253.99725729268104
3,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,35.56231736451604
4,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,213.1868257702697
5,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,251.94288665469557
6,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,23.758247283091404
7,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,272.74428149900774
8,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,619.0960747534112
9,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,35.56231736451604
10,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,274.3072113106711
11,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,124.12227101273186
12,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,294.17408767397364
13,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,359.22055353783213
14,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
15,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1409.6045200376152
16,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,250.02476446998028
17,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,19.625869816153315
18,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,251.4204133424057
19,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,221.0454953254217
20,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,551.7836168555255
21,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,738.2068910429323
22,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,424.95520350283863
23,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,399.33521038565794
24,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.1266264770908
25,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,250.2790534167745
26,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,236.66197196480582
27,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,270.80190055049036
28,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,281.6926403386824
29,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1112.546535101031
30,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,255.74090821032925
31,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.757443760006
32,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,292.29875853130847
33,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,217.82396478870695
34,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,161.3106688837975
35,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,249.90564833552148
36,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,124.12227101273186
37,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,270.3481680165276
38,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,246.54818694985556
39,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,41.16584665180334
40,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,217.82396478870695
41,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,31.56008766589556
42,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1080.011777585132
43,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,246.01495188297397
44,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,84.96978515097278
45,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,230.66179276447957
46,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1482.318132597969
47,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
48,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1325.2488690639984
49,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1305.330216988975
50,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,723.4799421855854
51,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,245.87050129671238
52,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,226.0875204973199
53,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,391.7457704211297
54,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,124.12227101273186
55,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,200.6556402897377
56,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,406.58045084880825
57,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,413.54411101805294
58,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,282.19678848765477
59,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,359.90661916068416
60,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.89831948936572
61,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,710.1522510023694
62,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,289.89209388812264
63,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,320.4147984724708
64,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,254.65128397041153
65,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.5238195435904
66,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,41.16584665180334
67,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,216.0783134963315
68,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,315.3193881931298
69,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,291.45373435415996
70,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,41.16584665180334
71,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,96.72167383251313
72,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,261.1954438803346
73,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,247.34880164063992
74,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,250.96763055728627
75,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.7515926390679
76,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,396.63152125024754
77,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,271.4481853859534
78,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,250.9957226031354
79,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,31.56008766589556
80,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,31.56008766589556
81,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,161.87550076510428
82,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1040.2100910346321
83,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,233.57519425349832
84,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,31.56008766589556
85,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,258.7641909401546
86,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1317.4852746915171
87,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,472.03390030996934
88,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,245.5665923667191
89,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1222.3691340559158
90,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,239.6290066969921
91,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,367.0296169120957
92,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
93,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,245.83968557269998
94,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,252.69756487319535
95,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,258.9494867052486
96,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,252.20739196493184
97,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,23.258666798180762
98,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,251.86054544966453
99,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,194.27678803181652
100,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,249.47000159404413
101,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,22.654648337568535
102,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1261.484767923017
103,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,277.88973382582213
104,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1090.3904126511582
105,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,551.1270968399407
106,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,249.67143154242285
107,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,237.70715589410707
