,situation,model,performance
0,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
1,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,299.8105662457346
2,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,256.6451779918404
3,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,547.4787788587173
4,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,262.7134560977478
5,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.51151213328882
6,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,77.13024284678612
7,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,303.71067127018557
8,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,247.90012730103817
9,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,362.2517926251512
10,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,719.5809937820388
11,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
12,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,736.5491882260737
13,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,278.86643691915555
14,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
15,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,988.350813993789
16,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,290.1263133442673
17,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,454.8603842487884
18,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,240.63265969944624
19,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,214.97086762932037
20,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,228.40243129941803
21,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,253.7524901370712
22,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,50.630713850242394
23,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,173.36112337770524
24,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,240.0173375388643
25,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,246.55255801210816
26,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,247.75363440238158
27,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,245.68570078324592
28,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,263.9721280587176
29,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1108.60031459568
30,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,240.710470058167
31,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.31080411809398
32,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.64166184108916
33,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,486.6940839495534
34,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,790.5564650052667
35,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,259.05252592000136
36,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,152.3193406868416
37,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,232.03315207360586
38,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,296.63938148469316
39,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
40,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
41,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,547.4787788587173
42,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,250.6523447076331
43,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,256.1329003722283
44,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,173.36112337770524
45,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,267.0127662639093
46,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,639.417629851803
47,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
